,platformSlug,platformUserIdentifier,modeKey,modeName,modeImageUrl,modeMaxRounds,isAvailable,timestamp,result,map,mapName,mapImageUrl,expiryDate,segment_type,platformUserHandle,hasWon,agent,agentName,agentColor,agentImageUrl,stat,rank,percentile,displayName,displayCategory,category,metadata,value,displayValue,displayType
0,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,playtime,,,Playtime,Combat,combat,{},2263.0,37m 43s,TimeSeconds
1,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,roundsPlayed,,,rounds_played,Combat,combat,{},23.0,23,Number
2,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,roundsWon,,,Rounds Won,Combat,combat,{},13.0,13,Number
3,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,roundsLost,,,Rounds Lost,Combat,combat,{},10.0,10,Number
4,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,placement,,,placement,Combat,combat,{},9.0,9,Number
5,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,score,,,Score,Combat,combat,{},2958.0,"2,958",Number
6,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,kills,,,Kills,Combat,combat,{},9.0,9,Number
7,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,deaths,,,Deaths,Combat,combat,{},16.0,16,Number
8,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,assists,,,Assists,Combat,combat,{},6.0,6,Number
9,riot,RayzenSama#6999,bomb,Competitive,https://trackercdn.com/cdn/tracker.gg/valorant/icons/modes/normal.png,25,True,2022-09-24T16:17:53.362+00:00,victory,7eaecc1b-4337-bbf6-6ab9-04b8f06b3319,Ascent,https://trackercdn.com/cdn/tracker.gg/valorant/db/maps/ascent.jpg,0001-01-01T00:00:00+00:00,overview,RayzenSama#6999,True,a3bfb853-43b2-7238-a4f1-ad90e9e46bcc,Reyna,#f650d3,https://titles.trackercdn.com/valorant-api/agents/a3bfb853-43b2-7238-a4f1-ad90e9e46bcc/displayicon.png,damage,,,damage,Combat,combat,{},1997.0,"1,997",Number
